pattern,offset
444848,7320679
964972,7319922
757118,7317023
780936,7316344
679123,7315864
620612,7314866
234848,7313052
189319,7310368
519735,7306565
415280,7301562
938911,7296932
870924,7296136
213815,7289683
692578,7289365
696924,7289146
846728,7284938
225728,7284930
045990,7284188
221279,7283612
103286,7283329
750458,7278484
487941,7272891
350927,7270446
033366,7269728
442117,7269359
898123,7268467
753331,7267071
021506,7266649
157518,7263662
145180,7263491
955988,7263184
055412,7262951
561323,7258125
971021,7257626
290080,7254845
316400,7252868
876837,7247429
350004,7246772
730851,7242764
197324,7242576
200833,7241104
465519,7240581
024991,7240175
798421,7239668
627548,7239613
144848,7237745
127885,7237244
776216,7235375
386234,7231767
235717,7231353
250761,7229134
970247,7227214
307100,7225464
536762,7224149
377148,7223954
874889,7223783
770738,7210840
889881,7210443
197220,7202537
824546,7202310
690360,7201402
922873,7199700
780446,7198115
379905,7196678
729232,7196117
341330,7194163
847664,7192780
385716,7191062
323230,7189643
586695,7189045
417159,7188810
404667,7187657
711632,7186593
251580,7186159
054670,7183501
543522,7182556
621211,7182256
727891,7182028
634187,7181059
573973,7180395
665730,7179229
529049,7177799
685857,7177166
870642,7176824
439532,7176232
664334,7170630
824747,7170206
908503,7169526
008678,7168889
164484,7168576
372729,7167780
889511,7165320
581144,7164485
463923,7164348
387255,7162484
150001,7161713
439283,7160079
973973,7159225
409748,7159199
213770,7155558
322619,7155510
155835,7154803
840962,7154188
353448,7153310
138867,7152940
831133,7152666
431640,7150908
374557,7149967
628402,7149727
387434,7148853
899981,7148293
792292,7145312
720307,7140542
411078,7140351
232248,7139566
998171,7138370
183079,7138317
344409,7137010
693967,7134768
369022,7133059
489564,7130479
702701,7130047
538040,7129888
749606,7112628
983762,7110207
775198,7109101
420296,7108923
870659,7107707
859185,7102183
540446,7101942
587095,7101880
842723,7101619
345862,7101449
589723,7099506
359188,7099403
163710,7096644
701031,7095007
646230,7094576
390480,7093830
562035,7092197
109994,7091115
883446,7090684
931371,7088615
544767,7087858
438765,7087552
567310,7086669
920239,7085265
713456,7084236
032413,7082053
240678,7079584
816913,7079160
992236,7078632
523034,7078490
419771,7076819
983220,7076711
640971,7075974
929680,7073777
322497,7071672
769428,7070451
208958,7069121
292926,7066971
051463,7065222
166336,7061935
064610,7061080
971549,7060540
303135,7055483
959514,7055391
092818,7055352
219128,7052638
767552,7050118
199849,7046350
734573,7046037
175698,7045216
607445,7044860
421888,7043583
902791,7043176
306409,7043064
221851,7041521
716012,7040925
806120,7040775
964195,7040752
446690,7037863
589834,7036833
612043,7034613
315788,7033429
952581,7031659
336032,7030077
321703,7029810
097391,7029361
967144,7027977
069516,7027713
125392,7025244
781267,7024350
220371,7023842
529734,7023835
485491,7022273
454071,7021937
886278,7021596
379986,7021510
519045,7021496
235053,7021397
003967,7020027
115179,7019198
577074,7018411
409006,7017602
739303,7016766
905962,7015998
406254,7015249
669640,7011877
649591,7011562
308276,7011083
130182,7008433
924549,7007003
691420,7005139
629400,7004348
510579,7003999
312954,7003548
433597,7003296
910150,7002076
673954,7000438
114194,7000163
833466,6999391
299732,6998953
278052,6998742
019281,6998033
766730,6996073
419149,6995836
532663,6995514
982061,6994822
705384,6994600
063752,6992399
233767,6991907
852322,6991693
552031,6987936
017274,6987185
987101,6986278
274213,6985877
938303,6984631
765616,6984557
782277,6984117
440440,6981372
164252,6981197
504220,6980663
289726,6979643
804062,6979547
013037,6979123
714548,6978948
255661,6977862
793534,6977373
975645,6977208
371807,6975273
981521,6969334
904672,6968814
606374,6968731
330529,6966229
330529,6966229
219612,6965507
177023,6965303
654049,6963596
408285,6960026
132441,6958625
425249,6958519
323151,6956431
233123,6956350
741795,6955196
783633,6953766
720770,6953747
813691,6950322
944312,6949549
895698,6947484
944653,6947117
327055,6945252
307785,6945099
228174,6943415
305132,6942379
695562,6941230
379195,6938414
699893,6935730
701077,6932529
866140,6931741
114442,6931607
812048,6931422
640037,6928817
536301,6928600
231922,6928228
364484,6927820
183225,6927657
587529,6927496
652670,6927365
925032,6927067
186026,6926246
004276,6926115
706141,6925039
370564,6922175
037056,6922174
382516,6919311
929176,6918929
411883,6917560
392147,6916619
825180,6912629
563359,6912442
807980,6911289
536542,6911136
594361,6910909
945842,6909526
141669,6908857
243137,6908778
106786,6906250
830305,6906095
438262,6902599
102295,6901857
186167,6900696
214318,6900662
692345,6899752
692345,6899752
750990,6899445
088762,6898321
286233,6896748
947860,6896192
504835,6894257
754150,6894253
275747,6892372
366595,6890590
